Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
216168.0,Arunachal Pradesh,293469.0,77301.0,2456.0,2021-05-13
5470083.0,Andhra Pradesh,7551945.0,2081862.0,39470.0,2021-05-13
11465614.0,Uttar Pradesh,14581474.0,3115860.0,248902.0,2021-05-13
99602.0,Andaman and Nicobar Islands,114400.0,14798.0,620.0,2021-05-13
8916777.0,West Bengal,12562690.0,3645913.0,140646.0,2021-05-13
165669.0,Sikkim,223154.0,57485.0,630.0,2021-05-12
304094.0,Meghalaya,376361.0,72267.0,9248.0,2021-05-12
235691.0,Mizoram,286159.0,50468.0,1478.0,2021-05-12
178737.0,Nagaland,229033.0,50296.0,2301.0,2021-05-12
5170331.0,Odisha,6522664.0,1352333.0,53103.0,2021-05-12
179489.0,Puducherry,225487.0,45998.0,1929.0,2021-05-12
3430867.0,Punjab,4117718.0,686851.0,42440.0,2021-05-12
11907840.0,Rajasthan,14811519.0,2903679.0,154274.0,2021-05-12
2518410.0,Assam,3233331.0,714921.0,32805.0,2021-05-12
15322754.0,Maharashtra,19139375.0,3816621.0,311162.0,2021-05-12
4432324.0,Telangana,5440783.0,1008459.0,24819.0,2021-05-12
968790.0,Tripura,1469744.0,500954.0,1959.0,2021-05-12
11291626.0,Uttar Pradesh,14300912.0,3009286.0,203163.0,2021-05-12
1880013.0,Uttarakhand,2546600.0,666587.0,32770.0,2021-05-12
8890679.0,West Bengal,12408070.0,3517391.0,164864.0,2021-05-12
43040.0,Daman and Diu,54981.0,11941.0,446.0,2021-05-12
214210.0,Arunachal Pradesh,290786.0,76576.0,1918.0,2021-05-12
5037596.0,Tamil Nadu,6851406.0,1813810.0,67664.0,2021-05-12
289255.0,Manipur,358501.0,69246.0,8244.0,2021-05-12
7335386.0,Madhya Pradesh,8923121.0,1587735.0,126682.0,2021-05-12
322251.0,Goa,411191.0,88940.0,5474.0,2021-05-12
21348.0,Lakshadweep,28102.0,6754.0,85.0,2021-05-12
99218.0,Andaman and Nicobar Islands,113622.0,14404.0,446.0,2021-05-12
6771938.0,Bihar,8410850.0,1638912.0,99243.0,2021-05-12
199576.0,Chandigarh,269353.0,69777.0,3525.0,2021-05-12
5010466.0,Chhattisgarh,5996204.0,985738.0,29888.0,2021-05-12
40751.0,Dadra and Nagar Haveli,51644.0,10893.0,201.0,2021-05-12
3292311.0,Delhi,4259338.0,967027.0,74609.0,2021-05-12
5459958.0,Andhra Pradesh,7504394.0,2044436.0,32972.0,2021-05-12
11041502.0,Gujarat,14767554.0,3726052.0,129907.0,2021-05-12
85240.0,Ladakh,122218.0,36978.0,668.0,2021-05-12
1740172.0,Himachal Pradesh,2141989.0,401817.0,14556.0,2021-05-12
2286567.0,Jammu and Kashmir,2806013.0,519446.0,10478.0,2021-05-12
2769962.0,Jharkhand,3402653.0,632691.0,24485.0,2021-05-12
8792803.0,Karnataka,11102044.0,2309241.0,109811.0,2021-05-12
6257014.0,Kerala,8185506.0,1928492.0,42154.0,2021-05-12
3817367.0,Haryana,4663197.0,845830.0,60832.0,2021-05-12
6238776.0,Kerala,8141289.0,1902513.0,70237,2021-05-11
8718545.0,Karnataka,10963129.0,2244584.0,157675,2021-05-11
2754830.0,Jharkhand,3373071.0,618241.0,28322,2021-05-11
2277054.0,Jammu and Kashmir,2792754.0,515700.0,26062,2021-05-11
1730336.0,Himachal Pradesh,2125140.0,394804.0,23619,2021-05-11
3764214.0,Haryana,4590300.0,826086.0,97820,2021-05-11
10952235.0,Gujarat,14610441.0,3658206.0,267656,2021-05-11
196808.0,Chandigarh,265527.0,68719.0,4740,2021-05-11
3229399.0,Delhi,4183896.0,954497.0,129063,2021-05-11
40638.0,Dadra and Nagar Haveli,51427.0,10789.0,379,2021-05-11
4993821.0,Chhattisgarh,5956903.0,963082.0,39409,2021-05-11
6669849.0,Bihar,8289734.0,1619885.0,153138,2021-05-11
2487465.0,Assam,3197150.0,709685.0,71180,2021-05-11
212600.0,Arunachal Pradesh,288821.0,76221.0,3570,2021-05-11
5450913.0,Andhra Pradesh,7463899.0,2012986.0,30199,2021-05-11
84630.0,Ladakh,121529.0,36899.0,661,2021-05-11
98845.0,Andaman and Nicobar Islands,113019.0,14174.0,559,2021-05-11
318352.0,Goa,405500.0,87148.0,5594,2021-05-11
20885.0,Lakshadweep,27372.0,6487.0,142,2021-05-11
165440.0,Sikkim,222448.0,57008.0,1131,2021-05-11
15144171.0,Maharashtra,18793256.0,3649085.0,378850,2021-05-11
42784.0,Daman and Diu,54485.0,11701.0,548,2021-05-11
8862487.0,West Bengal,12226878.0,3364391.0,108751,2021-05-11
1850845.0,Uttarakhand,2511832.0,660987.0,61163,2021-05-11
11141255.0,Uttar Pradesh,14073046.0,2931791.0,173327,2021-05-11
966997.0,Tripura,1465368.0,498371.0,14169,2021-05-11
4422419.0,Telangana,5406513.0,984094.0,77734,2021-05-11
4991388.0,Tamil Nadu,6762623.0,1771235.0,64621,2021-05-11
7256989.0,Madhya Pradesh,8785173.0,1528184.0,15591,2021-05-11
11777805.0,Rajasthan,14626660.0,2848855.0,228206,2021-05-11
281137.0,Manipur,350180.0,69043.0,8237,2021-05-11
178838.0,Puducherry,223390.0,44552.0,2305,2021-05-11
5135650.0,Odisha,6457266.0,1321616.0,93760,2021-05-11
177071.0,Nagaland,226669.0,49598.0,3388,2021-05-11
234267.0,Mizoram,284591.0,50324.0,2790,2021-05-11
294637.0,Meghalaya,366010.0,71373.0,11192,2021-05-11
3392970.0,Punjab,4065354.0,672384.0,71658,2021-05-11
6216882.0,Kerala,8066700.0,1849818.0,107998,2021-05-10
8638830.0,Karnataka,10772140.0,2133310.0,102632,2021-05-10
2738946.0,Jharkhand,3336638.0,597692.0,27098,2021-05-10
2261462.0,Jammu and Kashmir,2762379.0,500917.0,27872,2021-05-10
1717794.0,Himachal Pradesh,2097748.0,379954.0,28623,2021-05-10
3692472.0,Haryana,4475905.0,783433.0,111585,2021-05-10
3142198.0,Delhi,4051457.0,909259.0,140829,2021-05-10
10840347.0,Gujarat,14301060.0,3460713.0,227835,2021-05-10
314583.0,Goa,399718.0,85135.0,5156,2021-05-10
20513.0,Lakshadweep,26489.0,5976.0,106,2021-05-10
40551.0,Dadra and Nagar Haveli,51038.0,10487.0,405,2021-05-10
4978422.0,Chhattisgarh,5906806.0,928384.0,40678,2021-05-10
193540.0,Chandigarh,260309.0,66769.0,5227,2021-05-10
6552924.0,Bihar,8108459.0,1555535.0,182012,2021-05-10
2434046.0,Assam,3120516.0,686470.0,88690,2021-05-10
84093.0,Ladakh,120835.0,36742.0,1112,2021-05-10
284513.0,Meghalaya,354169.0,69656.0,10468,2021-05-10
7251862.0,Madhya Pradesh,8765843.0,1513981.0,116880,2021-05-10
4951333.0,Tamil Nadu,6676837.0,1725504.0,84103,2021-05-10
42574.0,Daman and Diu,53916.0,11342.0,665,2021-05-10
8844778.0,West Bengal,12108661.0,3263883.0,133350,2021-05-10
1813356.0,Uttarakhand,2445484.0,632128.0,64591,2021-05-10
11025900.0,Uttar Pradesh,13881053.0,2855153.0,164685,2021-05-10
960991.0,Tripura,1446246.0,485255.0,20055,2021-05-10
4406542.0,Telangana,5313900.0,907358.0,93400,2021-05-10
165201.0,Sikkim,221248.0,56047.0,1833,2021-05-10
14888694.0,Maharashtra,18380699.0,3492005.0,293048,2021-05-10
3343731.0,Punjab,3981861.0,638130.0,70839,2021-05-10
178079.0,Puducherry,220887.0,42808.0,3309,2021-05-10
5094833.0,Odisha,6344014.0,1249181.0,124981,2021-05-10
175150.0,Nagaland,223069.0,47919.0,3789,2021-05-10
232953.0,Mizoram,281704.0,48751.0,3341,2021-05-10
273723.0,Manipur,341766.0,68043.0,10930,2021-05-10
11636945.0,Rajasthan,14374162.0,2737217.0,180669,2021-05-10
210862.0,Arunachal Pradesh,285021.0,74159.0,5798,2021-05-10
5443951.0,Andhra Pradesh,7427778.0,1983827.0,1929,2021-05-10
98439.0,Andaman and Nicobar Islands,112403.0,13964.0,894,2021-05-10
176917.0,Puducherry,217269.0,40352.0,477.0,2021-05-09
7202462.0,Madhya Pradesh,8636212.0,1433750.0,986.0,2021-05-09
14712246.0,Maharashtra,18063345.0,3351099.0,110228.0,2021-05-09
263801.0,Manipur,330717.0,66916.0,173.0,2021-05-09
275458.0,Meghalaya,343383.0,67925.0,61.0,2021-05-09
231200.0,Mizoram,278252.0,47052.0,0.0,2021-05-09
172658.0,Nagaland,219061.0,46403.0,448.0,2021-05-09
5060884.0,Odisha,6199403.0,1138519.0,3821.0,2021-05-09
3298768.0,Punjab,3900797.0,602029.0,34290.0,2021-05-09
11498654.0,Rajasthan,14177991.0,2679337.0,76344.0,2021-05-09
164805.0,Sikkim,219312.0,54507.0,163.0,2021-05-09
4906062.0,Tamil Nadu,6569914.0,1663852.0,15728.0,2021-05-09
4389592.0,Telangana,5205226.0,815634.0,638.0,2021-05-09
953744.0,Tripura,1421511.0,467767.0,442.0,2021-05-09
10916895.0,Uttar Pradesh,13697577.0,2780682.0,629.0,2021-05-09
1777937.0,Uttarakhand,2373371.0,595434.0,20696.0,2021-05-09
20307.0,Lakshadweep,25943.0,5636.0,33.0,2021-05-09
83169.0,Ladakh,119661.0,36492.0,31.0,2021-05-09
6187652.0,Kerala,7952556.0,1764904.0,550.0,2021-05-09
8591372.0,Karnataka,10643323.0,2051951.0,36272.0,2021-05-09
97748.0,Andaman and Nicobar Islands,111285.0,13537.0,84.0,2021-05-09
5443382.0,Andhra Pradesh,7425692.0,1982310.0,11571.0,2021-05-09
208414.0,Arunachal Pradesh,278983.0,70569.0,1207.0,2021-05-09
2366422.0,Assam,3027029.0,660607.0,20848.0,2021-05-09
6411990.0,Bihar,7905698.0,1493708.0,110378.0,2021-05-09
190204.0,Chandigarh,254612.0,64408.0,3833.0,2021-05-09
4963503.0,Chhattisgarh,5857150.0,893647.0,11791.0,2021-05-09
40424.0,Dadra and Nagar Haveli,50585.0,10161.0,214.0,2021-05-09
3045394.0,Delhi,3907469.0,862075.0,1722.0,2021-05-09
310955.0,Goa,394413.0,83458.0,1987.0,2021-05-09
10741045.0,Gujarat,14036695.0,3295650.0,134089.0,2021-05-09
3612642.0,Haryana,4344758.0,732116.0,48026.0,2021-05-09
1702305.0,Himachal Pradesh,2065283.0,362978.0,5904.0,2021-05-09
2244582.0,Jammu and Kashmir,2730327.0,485745.0,9398.0,2021-05-09
2722859.0,Jharkhand,3303003.0,580144.0,14596.0,2021-05-09
8825922.0,West Bengal,11963861.0,3137939.0,9043.0,2021-05-09
42302.0,Daman and Diu,53201.0,10899.0,212.0,2021-05-09
8823763.0,West Bengal,11952404.0,3128641.0,101353.0,2021-05-08
6187280.0,Kerala,7951983.0,1764703.0,78113.0,2021-05-08
2714194.0,Jharkhand,3284802.0,570608.0,22680.0,2021-05-08
2236255.0,Jammu and Kashmir,2717486.0,481231.0,37994.0,2021-05-08
1699206.0,Himachal Pradesh,2058866.0,359660.0,18808.0,2021-05-08
3573590.0,Haryana,4288127.0,714537.0,69746.0,2021-05-08
10676626.0,Gujarat,13881007.0,3204381.0,172637.0,2021-05-08
309334.0,Goa,392342.0,83008.0,5717.0,2021-05-08
3044458.0,Delhi,3905912.0,861454.0,128963.0,2021-05-08
40349.0,Dadra and Nagar Haveli,50355.0,10006.0,411.0,2021-05-08
4958357.0,Chhattisgarh,5842656.0,884299.0,22553.0,2021-05-08
187445.0,Chandigarh,250441.0,62996.0,6291.0,2021-05-08
6304398.0,Bihar,7782756.0,1478358.0,61392.0,2021-05-08
2346318.0,Assam,3002857.0,656539.0,79159.0,2021-05-08
207746.0,Arunachal Pradesh,277640.0,69894.0,4117.0,2021-05-08
5436592.0,Andhra Pradesh,7410800.0,1974208.0,125125.0,2021-05-08
97639.0,Andaman and Nicobar Islands,111168.0,13529.0,767.0,2021-05-08
8577077.0,Karnataka,10596894.0,2019817.0,116702.0,2021-05-08
83032.0,Ladakh,119520.0,36488.0,1160.0,2021-05-08
1768741.0,Uttarakhand,2349729.0,580988.0,36798.0,2021-05-08
20240.0,Lakshadweep,25693.0,5453.0,52.0,2021-05-08
10914754.0,Uttar Pradesh,13694748.0,2779994.0,120052.0,2021-05-08
952947.0,Tripura,1418622.0,465675.0,16203.0,2021-05-08
4388638.0,Telangana,5202960.0,814322.0,70194.0,2021-05-08
4895451.0,Tamil Nadu,6546261.0,1650810.0,49331.0,2021-05-08
164772.0,Sikkim,219141.0,54369.0,747.0,2021-05-08
11435174.0,Rajasthan,14086593.0,2651419.0,171595.0,2021-05-08
3273867.0,Punjab,3859741.0,585874.0,58250.0,2021-05-08
176721.0,Puducherry,216758.0,40037.0,2575.0,2021-05-08
5056397.0,Odisha,6190506.0,1134109.0,63588.0,2021-05-08
172228.0,Nagaland,218617.0,46389.0,189.0,2021-05-08
