count,date,dose_one,dose_two,time_slot
258714.0,2021-05-06,122479.0,122479.0,14:00-15:00
311735.0,2021-05-06,137391.0,137391.0,13:00-14:00
402837.0,2021-05-06,173678.0,173678.0,12:00-13:00
943.0,2021-05-05,149.0,149.0,07:00-08:00
205943.0,2021-05-05,97762.0,97762.0,15:00-16:00
5724.0,2021-05-05,2086.0,2086.0,08:00-09:00
61351.0,2021-05-05,31055.0,31055.0,09:00-10:00
211316.0,2021-05-05,98471.0,98471.0,10:00-11:00
322913.0,2021-05-05,142102.0,142102.0,11:00-12:00
330257.0,2021-05-05,147202.0,147202.0,12:00-13:00
266720.0,2021-05-05,121033.0,121033.0,13:00-14:00
219321.0,2021-05-05,103202.0,103202.0,14:00-15:00
21793.0,2021-05-05,11010.0,11010.0,19:00-20:00
141854.0,2021-05-05,68615.0,68615.0,16:00-17:00
74829.0,2021-05-05,36795.0,36795.0,17:00-18:00
35319.0,2021-05-05,17772.0,17772.0,18:00-19:00
17571.0,2021-05-05,8928.0,8928.0,20:00-21:00
14312.0,2021-05-05,7189.0,7189.0,21:00-22:00
10024.0,2021-05-05,4852.0,4852.0,22:00-23:00
10948.0,2021-05-04,5975.0,5975.0,20:00-21:00
205626.0,2021-05-04,104383.0,104383.0,13:00-14:00
14494.0,2021-05-04,8122.0,8122.0,19:00-20:00
18583.0,2021-05-04,8904.0,8904.0,18:00-19:00
41593.0,2021-05-04,22678.0,22678.0,17:00-18:00
92665.0,2021-05-04,50309.0,50309.0,16:00-17:00
148362.0,2021-05-04,78313.0,78313.0,15:00-16:00
173154.0,2021-05-04,92153.0,92153.0,14:00-15:00
6656.0,2021-05-04,3416.0,3416.0,22:00-23:00
264879.0,2021-05-04,135000.0,135000.0,12:00-13:00
261876.0,2021-05-04,136782.0,136782.0,11:00-12:00
166529.0,2021-05-04,93312.0,93312.0,10:00-11:00
48464.0,2021-05-04,28561.0,28561.0,09:00-10:00
3601.0,2021-05-04,1836.0,1836.0,08:00-09:00
313.0,2021-05-04,197.0,197.0,07:00-08:00
10231.0,2021-05-04,5671.0,5671.0,21:00-22:00
29835.0,2021-05-03,15311.0,15311.0,18:00-19:00
21368.0,2021-05-03,11205.0,11205.0,19:00-20:00
14712.0,2021-05-03,7735.0,7735.0,21:00-22:00
275468.0,2021-05-03,128752.0,128752.0,11:00-12:00
10854.0,2021-05-03,5203.0,5203.0,22:00-23:00
15244.0,2021-05-03,7821.0,7821.0,20:00-21:00
187.0,2021-05-03,106.0,106.0,07:00-08:00
3016.0,2021-05-03,1547.0,1547.0,08:00-09:00
180264.0,2021-05-03,85841.0,85841.0,10:00-11:00
49270.0,2021-05-03,25315.0,25315.0,09:00-10:00
297200.0,2021-05-03,141288.0,141288.0,12:00-13:00
236758.0,2021-05-03,115487.0,115487.0,13:00-14:00
202425.0,2021-05-03,103668.0,103668.0,14:00-15:00
177739.0,2021-05-03,90519.0,90519.0,15:00-16:00
119399.0,2021-05-03,61859.0,61859.0,16:00-17:00
57505.0,2021-05-03,30725.0,30725.0,17:00-18:00
86774.0,2021-05-02,52839.0,52839.0,12:00-13:00
12643.0,2021-05-02,7428.0,7428.0,17:00-18:00
27553.0,2021-05-02,17053.0,17053.0,16:00-17:00
43474.0,2021-05-02,26495.0,26495.0,15:00-16:00
52995.0,2021-05-02,33536.0,33536.0,14:00-15:00
63921.0,2021-05-02,40256.0,40256.0,13:00-14:00
3441.0,2021-05-02,2277.0,2277.0,22:00-23:00
86315.0,2021-05-02,52808.0,52808.0,11:00-12:00
59452.0,2021-05-02,37055.0,37055.0,10:00-11:00
17163.0,2021-05-02,10972.0,10972.0,09:00-10:00
549.0,2021-05-02,340.0,340.0,08:00-09:00
41.0,2021-05-02,24.0,24.0,07:00-08:00
4486.0,2021-05-02,2686.0,2686.0,20:00-21:00
5244.0,2021-05-02,3105.0,3105.0,19:00-20:00
8743.0,2021-05-02,5401.0,5401.0,18:00-19:00
4333.0,2021-05-02,2467.0,2467.0,21:00-22:00
7131.0,2021-05-01,3914.0,3914.0,22:00-23:00
1722.0,2021-05-01,770.0,770.0,08:00-09:00
39218.0,2021-05-01,18414.0,18414.0,09:00-10:00
153357.0,2021-05-01,75960.0,75960.0,10:00-11:00
240484.0,2021-05-01,122006.0,122006.0,11:00-12:00
245697.0,2021-05-01,131020.0,131020.0,12:00-13:00
189553.0,2021-05-01,105745.0,105745.0,13:00-14:00
150144.0,2021-05-01,85671.0,85671.0,14:00-15:00
133210.0,2021-05-01,76951.0,76951.0,15:00-16:00
91510.0,2021-05-01,54540.0,54540.0,16:00-17:00
45623.0,2021-05-01,27926.0,27926.0,17:00-18:00
23570.0,2021-05-01,14404.0,14404.0,18:00-19:00
16497.0,2021-05-01,9258.0,9258.0,19:00-20:00
11747.0,2021-05-01,6796.0,6796.0,21:00-22:00
11954.0,2021-05-01,7023.0,7023.0,20:00-21:00
135.0,2021-05-01,104.0,104.0,07:00-08:00
59515.0,2021-04-30,35612.0,35612.0,18:00-19:00
424894.0,2021-04-30,231115.0,231115.0,13:00-14:00
117053.0,2021-04-30,68991.0,68991.0,17:00-18:00
222953.0,2021-04-30,130615.0,130615.0,16:00-17:00
291474.0,2021-04-30,165846.0,165846.0,15:00-16:00
28835.0,2021-04-30,18584.0,18584.0,20:00-21:00
307565.0,2021-04-30,172403.0,172403.0,14:00-15:00
373030.0,2021-04-30,190266.0,190266.0,12:00-13:00
20230.0,2021-04-30,13205.0,13205.0,22:00-23:00
239082.0,2021-04-30,114112.0,114112.0,11:00-12:00
182172.0,2021-04-30,80146.0,80146.0,10:00-11:00
64678.0,2021-04-30,26097.0,26097.0,09:00-10:00
6019.0,2021-04-30,2168.0,2168.0,08:00-09:00
577.0,2021-04-30,238.0,238.0,07:00-08:00
25110.0,2021-04-30,15863.0,15863.0,21:00-22:00
38580.0,2021-04-30,24531.0,24531.0,19:00-20:00
271006.0,2021-04-29,146382.0,146382.0,13:00-14:00
273.0,2021-04-29,168.0,168.0,07:00-08:00
19159.0,2021-04-29,12118.0,12118.0,22:00-23:00
3192.0,2021-04-29,1388.0,1388.0,08:00-09:00
40191.0,2021-04-29,16941.0,16941.0,09:00-10:00
142604.0,2021-04-29,66054.0,66054.0,10:00-11:00
211764.0,2021-04-29,104443.0,104443.0,11:00-12:00
262431.0,2021-04-29,136550.0,136550.0,12:00-13:00
262116.0,2021-04-29,147069.0,147069.0,14:00-15:00
191218.0,2021-04-29,104801.0,104801.0,15:00-16:00
206405.0,2021-04-29,115800.0,115800.0,16:00-17:00
136892.0,2021-04-29,78176.0,78176.0,17:00-18:00
72186.0,2021-04-29,41774.0,41774.0,18:00-19:00
45567.0,2021-04-29,26915.0,26915.0,19:00-20:00
36440.0,2021-04-29,22726.0,22726.0,20:00-21:00
30309.0,2021-04-29,18840.0,18840.0,21:00-22:00
268752.0,2021-04-28,138119.0,138119.0,11:00-12:00
464.0,2021-04-28,228.0,228.0,07:00-08:00
54210.0,2021-04-28,22815.0,22815.0,09:00-10:00
172783.0,2021-04-28,82749.0,82749.0,10:00-11:00
307472.0,2021-04-28,168296.0,168296.0,12:00-13:00
293683.0,2021-04-28,167919.0,167919.0,13:00-14:00
254719.0,2021-04-28,149860.0,149860.0,14:00-15:00
223522.0,2021-04-28,128246.0,128246.0,15:00-16:00
65479.0,2021-04-28,37756.0,37756.0,16:00-17:00
105328.0,2021-04-28,60544.0,60544.0,17:00-18:00
58042.0,2021-04-28,34438.0,34438.0,18:00-19:00
41505.0,2021-04-28,25254.0,25254.0,19:00-20:00
27101.0,2021-04-28,16541.0,16541.0,20:00-21:00
20185.0,2021-04-28,13113.0,13113.0,21:00-22:00
